    n   repetitions        times
     0     34705427     0.000000
    10      9189344     0.000000
    20      3305849     0.000000
    30      1686437     0.000001
    40      1017169     0.000001
    50       678921     0.000001
    60       484434     0.000002
    70       361293     0.000003
    80       279805     0.000004
    90       225422     0.000004
   100       183667     0.000005
   200        46563     0.000021
   300        20765     0.000048
   400        11811     0.000085
   500         7603     0.000132
   600         5324     0.000188
   700         3942     0.000254
   800         3018     0.000331
   900         2396     0.000417
  1000         1953     0.000512
  1100         1620     0.000617
  1200         1370     0.000730
  1300         1162     0.000861
  1400         1003     0.000997
  1500          873     0.001145
  1600          767     0.001305
  1700          681     0.001468
  1800          609     0.001642
  1900          549     0.001823
  2000          498     0.002010
