n size      역정렬      순정렬        랜덤
     0    0.000000    0.000000    0.000000
    10    0.000000    0.000000    0.000000
    20    0.000000    0.000000    0.000001
    30    0.000001    0.000000    0.000001
    40    0.000001    0.000000    0.000001
    50    0.000002    0.000000    0.000002
    60    0.000002    0.000000    0.000003
    70    0.000003    0.000000    0.000003
    80    0.000004    0.000000    0.000004
    90    0.000005    0.000000    0.000006
   100    0.000008    0.000000    0.000007
   200    0.000032    0.000001    0.000022
   300    0.000070    0.000001    0.000035
   400    0.000094    0.000001    0.000056
   500    0.000146    0.000001    0.000084
   600    0.000212    0.000001    0.000119
   700    0.000288    0.000002    0.000167
   800    0.000482    0.000002    0.000273
   900    0.000623    0.000003    0.000335
  1000    0.000759    0.000003    0.000408
  1100    0.000908    0.000003    0.000383
  1200    0.000840    0.000003    0.000450
  1300    0.000982    0.000003    0.000684
  1400    0.001510    0.000004    0.000785
  1500    0.001738    0.000005    0.000914
  1600    0.001957    0.000005    0.001062
  1700    0.002247    0.000005    0.001156
  1800    0.002475    0.000006    0.001443
  1900    0.002760    0.000006    0.001422
  2000    0.003043    0.000006    0.001576
